id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
1943,M,1.4375,1.0625,0.35,23.88445375,11.1413535,5.42892925,6.463686,9.0
1944,M,1.025,0.8,0.275,10.21999475,4.32329875,2.324659,3.5436875,8.0
1945,F,1.725,1.3625,0.4625,49.32813,20.14231975,8.63242275,13.324265,10.0
1946,F,1.45,1.1,0.4125,23.99785175,10.33339275,5.59902625,7.7961125,9.0
1947,M,1.525,1.175,0.3875,29.97959625,14.92601175,6.3219385,8.3631025,10.0
1948,F,1.1625,0.8625,0.2875,12.54465375,5.37223025,2.96252275,4.9611625,10.0
1949,I,0.7,0.5125,0.1625,3.38776525,1.54504775,0.52446575,0.9922325,5.0
1950,M,1.5375,1.25,0.3875,28.576296,12.03436275,6.22271525,8.0796075,11.0
1951,F,1.55,1.225,0.3875,34.8415355,14.2030995,8.448151,9.4970825,11.0
1952,I,1.4,1.1125,0.3375,23.9553275,12.1619355,4.63514325,5.5281525,8.0
1953,F,1.575,1.2,0.4375,35.47939925,15.46465225,9.241937,10.0640725,9.0
1954,F,1.5,1.175,0.4375,35.3518265,11.72251825,6.3219385,11.1980525,21.0
1955,F,1.5125,1.225,0.4125,33.46658475,14.6566915,6.5487345,9.11436425,8.0
1956,I,1.2875,1.0,0.35,23.85610425,9.6671795,5.556502,8.1930055,11.0
1957,F,1.6375,1.3,0.425,38.20095125,17.5483405,8.77417025,11.056305,12.0
1958,F,1.3625,1.0625,0.3625,19.504456,8.77417025,4.5075705,6.36446275,8.0
1959,M,1.0125,0.7875,0.25,9.73805325,4.422522,2.16873675,2.551455,7.0
1960,I,0.4,0.275,0.0875,0.49611625,0.18427175,0.15592225,0.1417475,4.0
1961,F,1.675,1.35,0.4375,38.4702715,13.60776,8.278054,13.60776,15.0
1962,F,1.575,1.25,0.425,32.16250775,12.85649825,7.654365,9.4970825,13.0
1963,F,1.75,1.4,0.5,50.22113925,23.31746375,11.5949455,13.1825175,9.0
1964,I,1.175,0.925,0.25,15.43630275,7.1157245,3.27436725,3.8271825,8.0
1965,I,1.0875,0.8125,0.25,9.752228,4.0539785,1.984465,2.6932025,7.0
1966,I,0.825,0.575,0.175,4.40834725,1.97029025,1.4458245,1.2757275,6.0
1967,F,1.3875,1.0625,0.4375,25.0893075,10.8578585,4.77689075,8.221355,12.0
1968,M,1.4375,1.1,0.35,24.76328825,10.56018875,5.0178615,7.087375,9.0
1969,I,1.325,0.95,0.325,17.78931125,8.88756825,3.6003865,5.2446575,10.0
1970,M,1.4,1.0625,0.3125,24.56484175,10.1207715,5.57067675,6.6621325,13.0
1971,M,1.2125,0.9125,0.3125,15.8473705,7.087375,3.912231,4.762716,9.0
1972,F,1.55,1.175,0.425,28.7180435,12.34620725,5.726599,8.6465975,11.0
1973,I,0.9625,0.7,0.225,7.55514175,2.721552,1.4458245,2.26796,8.0
1974,M,1.3125,1.025,0.3625,24.7491135,10.90038275,5.20213325,7.5126175,11.0
1975,M,1.175,0.9,0.2875,14.61416725,7.087375,2.87747425,4.3941725,9.0
1976,I,1.0375,0.775,0.25,8.50485,3.798833,1.63009625,2.83495,7.0
1977,M,1.0625,0.875,0.3,11.509897,4.63514325,2.2963095,3.8271825,11.0
1978,F,1.5125,1.225,0.4375,31.96406125,13.5794105,7.32834575,9.14271375,11.0
1979,F,0.8625,0.6375,0.2125,5.31553125,2.05533875,1.03475675,1.5592225,12.0
1980,I,1.375,1.05,0.3,21.27629975,9.8372765,4.63514325,5.953395,9.0
1981,I,1.175,0.875,0.3,15.37960375,6.633783,4.09650275,4.9611625,10.0
1982,F,1.6875,1.3,0.5,49.34230475,17.519991,10.87203325,16.08834125,16.0
1983,M,1.55,1.225,0.4125,33.8776525,15.35125425,7.27164675,8.7599955,9.0
1984,F,1.5625,1.25,0.4125,30.220567,11.07047975,6.406987,8.788345,10.0
1985,I,1.1125,0.8375,0.275,11.169703,5.14543425,2.08368825,3.118445,8.0
1986,I,0.55,0.375,0.0,1.304077,0.46776675,0.18427175,0.4252425,3.0
1987,F,1.4125,1.125,0.3375,26.705229,11.8784405,5.159609,7.8528115,13.0
1988,I,0.8375,0.6625,0.225,6.13766675,2.721552,1.417475,2.62232875,7.0
1989,F,1.6875,1.275,0.4375,45.8978405,19.03668925,9.128539,11.90679,10.0
1990,M,1.5625,1.1875,0.4125,29.5118295,15.7339725,5.82582225,7.93786,9.0
1991,I,1.0,0.75,0.225,8.40562675,3.78465825,1.60174675,2.4097075,7.0
1992,I,0.4,0.3,0.1,0.7654365,0.2551455,0.1417475,0.21262125,3.0
1993,F,1.5625,1.2,0.4,32.44600275,15.7906715,7.540967,8.9300925,9.0
1994,I,1.3,1.0,0.35,16.896302,7.27164675,4.53592,4.53592,8.0
1995,I,1.0375,0.775,0.225,8.68912175,3.41611475,1.7860185,2.6932025,7.0
1996,F,1.425,1.1,0.3625,26.83280175,10.546014,5.40057975,7.597666,9.0
1997,F,1.5625,1.2125,0.5,33.40988575,12.65805175,8.0229085,10.0640725,14.0
1998,I,0.725,0.525,0.1875,3.35941575,1.28990225,0.69456275,0.94970825,6.0
1999,I,1.2625,1.0,0.3,16.82542825,7.0590255,3.7704835,5.6699,8.0
2000,F,1.1625,0.95,0.3375,18.75319425,5.54232725,3.27436725,6.6621325,12.0
2001,I,1.375,1.0625,0.375,23.79940525,10.41844125,4.72019175,7.200773,13.0
2002,I,0.625,0.4625,0.1375,2.16873675,0.7654365,0.510291,0.60951425,4.0
2003,M,1.3375,1.025,0.2875,18.6256215,8.34892775,3.7704835,5.5281525,10.0
2004,M,1.5125,1.2,0.4,31.808139,14.75591475,7.10154975,8.00873375,11.0
2005,I,1.1,0.85,0.25,12.54465375,4.9611625,2.31048425,3.8271825,9.0
2006,I,0.475,0.375,0.0,1.190679,0.5386405,0.35436875,0.4252425,5.0
2007,M,1.5,1.2125,0.3625,31.75144,15.35125425,6.917278,7.654365,10.0
2008,F,1.4125,1.075,0.375,26.40755925,10.149121,6.08096775,8.3631025,13.0
2009,M,1.6125,1.275,0.475,42.48172575,15.0535845,10.70193625,13.60776,14.0
2010,F,1.45,1.15,0.4,27.8108595,13.70698325,6.13766675,7.32834575,8.0
2011,F,1.1125,0.8875,0.275,12.9557215,4.63514325,2.93417325,3.685435,11.0
2012,F,1.525,1.2125,0.4125,29.5685285,14.16057525,6.93145275,7.7961125,9.0
2013,M,1.425,1.125,0.375,22.4244545,10.9712565,5.1312595,6.9456275,11.0
2014,M,1.4625,1.125,0.4125,26.80445225,12.62970225,6.010094,7.087375,9.0
2015,F,1.7,1.3375,0.5,50.6605565,23.23241525,12.360382,13.324265,9.0
2016,M,1.4,1.0625,0.35,21.38969775,9.8372765,4.86193925,6.520385,8.0
2017,I,1.1,0.825,0.25,10.33339275,4.46504625,2.33883375,3.13261975,7.0
2018,I,1.3375,1.125,0.375,22.5378525,10.149121,4.649318,7.2291225,8.0
2019,M,1.7125,1.2875,0.475,45.7277435,20.45416425,10.5743635,11.623295,11.0
2020,I,0.525,0.375,0.1125,1.31825175,0.5386405,0.4252425,0.340194,3.0
2021,M,1.3875,1.0625,0.3625,23.26076475,9.68135425,4.5075705,6.0951425,10.0
2022,F,1.4875,1.1875,0.3625,26.40755925,12.99824575,5.57067675,7.37087,8.0
2023,I,1.225,0.95,0.3,16.51358375,7.10154975,4.63514325,4.706017,8.0
2024,M,1.525,1.1875,0.4125,33.3106625,17.6050395,6.87475375,8.788345,9.0
2025,M,0.875,0.6625,0.225,5.7549485,2.25378525,1.03475675,1.5592225,7.0
2026,F,1.4375,1.1125,0.3875,26.08154,10.21999475,4.32329875,9.07184,11.0
2027,M,1.65,1.35,0.4125,41.8722115,18.824068,8.43397625,10.07824725,9.0
2028,M,1.325,1.025,0.3125,18.86659225,7.7961125,4.3941725,5.10291,10.0
2029,F,1.5,1.25,0.3875,30.0221205,8.77417025,6.917278,11.056305,21.0
2030,F,1.6375,1.3125,0.4625,43.1762885,20.9502805,10.87203325,11.4815475,11.0
2031,I,1.1875,0.9,0.275,11.169703,4.63514325,2.551455,3.69960975,12.0
2032,M,0.875,0.6625,0.3125,6.08096775,2.9766975,1.31825175,1.8427175,6.0
2033,I,0.9375,0.7,0.225,6.13766675,2.721552,1.0489315,2.26796,8.0
2034,M,1.5375,1.1625,0.375,26.09571475,11.75086775,5.71242425,7.2291225,9.0
2035,I,1.4,1.075,0.35,23.48756075,10.90038275,5.48562825,7.2291225,14.0
2036,I,0.825,0.6125,0.225,4.6209685,2.0695135,1.3891255,1.70097,6.0
2037,F,1.5375,1.1875,0.425,28.8314415,12.47378,7.07320025,9.07184,11.0
2038,I,0.9375,0.7,0.2375,6.0384435,2.438057,1.247378,1.7293195,6.0
2039,I,1.1,0.85,0.2875,12.587178,5.2446575,2.22543575,3.5436875,7.0
2040,I,0.925,0.6875,0.225,7.087375,3.24601775,1.417475,1.644271,6.0
2041,F,1.6125,1.225,0.4125,33.40988575,18.10115575,6.53455975,8.9300925,11.0
2042,M,1.525,1.175,0.375,31.127751,13.8062065,6.406987,8.3631025,12.0
2043,F,1.5375,1.2,0.3875,29.01571325,12.60135275,6.4353365,8.50485,10.0
2044,M,1.4875,1.2,0.4125,32.33260475,15.705623,6.7755305,8.0796075,9.0
2045,F,1.575,1.1875,0.375,33.46658475,13.62193475,6.08096775,9.4970825,13.0
2046,M,1.4125,1.1,0.375,23.88445375,9.6671795,5.17378375,7.2291225,9.0
2047,M,1.675,1.35,0.4375,53.070264,26.591831,10.149121,15.30873,10.0
2048,I,1.4375,1.1375,0.3125,22.792998,10.4609655,4.7343665,6.6621325,8.0
2049,F,1.35,1.0125,0.3375,22.849697,9.87980075,5.0745605,6.6621325,12.0
2050,M,1.6625,1.3125,0.4375,39.93803825,18.0586315,8.4198015,9.4970825,11.0
2051,F,1.4625,1.1375,0.4125,26.365035,10.942907,5.71242425,7.5126175,12.0
2052,M,1.4375,1.125,0.3375,23.189891,11.9918385,5.1879585,6.3786375,9.0
2053,F,1.6125,1.2625,0.45,39.179009,18.200379,8.221355,10.77281,9.0
2054,M,1.4875,1.15,0.4,31.127751,14.911837,6.293589,9.63883,11.0
2055,F,1.4125,1.125,0.35,23.7285315,11.97766375,5.40057975,6.747181,8.0
2056,F,1.45,1.1625,0.375,27.1871705,11.97766375,5.79747275,7.5126175,10.0
2057,M,1.2625,0.9625,0.3125,18.01610725,8.561549,4.40834725,5.2446575,8.0
2058,I,0.8875,0.675,0.2125,6.27941425,2.65067825,1.3324265,1.8427175,6.0
2059,F,1.5,1.15,0.4125,32.89959475,14.7133905,7.41339425,8.3631025,9.0
2060,I,0.9625,0.825,0.2375,8.50485,5.10291,1.6159215,2.82077525,6.0
2061,M,1.6125,1.2875,0.3625,32.0065855,15.77649675,6.80388,8.788345,13.0
2062,F,1.5625,1.225,0.375,30.7592075,10.47514025,6.78970525,8.9300925,14.0
2063,F,1.675,1.25,0.4375,36.61337925,16.0174675,7.55514175,9.02931575,27.0
2064,F,1.475,1.175,0.4125,31.014353,14.2030995,6.42116175,7.654365,11.0
2065,M,1.35,1.0625,0.4,27.499015,13.154168,5.54232725,8.50485,10.0
2066,F,1.575,1.225,0.4,29.937072,12.82814875,6.123492,8.91591775,10.0
2067,M,1.3125,0.8875,0.3125,14.5999925,6.90310325,3.38776525,3.742134,9.0
2068,M,1.275,0.95,0.325,16.556108,6.350288,3.47281375,4.3941725,9.0
2069,M,1.4375,1.1,0.4,25.0326085,10.87203325,4.86193925,7.32834575,13.0
2070,F,1.6375,1.3375,0.475,38.42774725,12.6722265,8.80251975,13.1825175,21.0
2071,M,1.625,1.3125,0.4875,45.1607535,20.62426125,9.7805775,13.60776,11.0
2072,I,1.1875,0.8875,0.2625,13.36678925,6.44951125,2.65067825,3.8271825,8.0
2073,F,1.3125,1.025,0.35,18.653971,7.35669525,4.52174525,6.066793,13.0
2074,F,1.725,1.3125,0.45,48.795323,23.189891,11.89261525,12.190285,11.0
2075,F,1.6625,1.3,0.475,41.4753185,16.40018575,8.674947,11.52407175,13.0
2076,F,1.4625,1.1125,0.325,24.08290025,10.6310625,4.97533725,7.087375,10.0
2077,F,1.5625,1.25,0.425,33.8776525,15.97494325,5.953395,10.0640725,11.0
2078,M,1.4875,1.1875,0.3875,30.674159,13.947954,6.19436575,8.50485,10.0
2079,F,1.4625,1.175,0.4125,31.56716825,14.92601175,6.95980225,8.6465975,10.0
2080,M,1.3125,1.025,0.3625,21.87163925,9.48290775,4.94698775,6.23689,10.0
2081,M,1.175,0.9375,0.3375,14.44407025,5.85417175,2.2963095,4.819415,11.0
2082,M,1.0125,0.7625,0.225,8.845044,3.86970675,1.70097,2.4097075,7.0
2083,F,0.875,0.65,0.2,5.6699,1.77184375,1.2757275,1.984465,9.0
2084,F,1.5125,1.225,0.4125,34.68561325,14.78426425,7.7394135,11.1980525,10.0
2085,I,1.425,1.0625,0.3375,21.75824125,11.8784405,3.72795925,5.953395,9.0
2086,F,1.55,1.225,0.4125,31.34037225,11.5382465,7.15824875,10.95708175,14.0
2087,F,1.5,1.1625,0.4125,30.957654,12.757275,6.98815175,8.9300925,15.0
2088,F,1.375,1.0625,0.35,22.83552225,8.06543275,4.819415,6.3786375,19.0
2089,I,0.9,0.6625,0.225,5.5281525,2.211261,1.11980525,1.5592225,10.0
2090,F,1.2625,0.9625,0.3125,17.70426275,7.824462,4.025629,5.2446575,13.0
2091,M,1.625,1.2875,0.4875,39.271825,16.9246515,7.89533575,10.61688775,11.0
2092,M,1.7625,1.4,0.5,55.735117,22.80717275,12.06271225,17.57669,11.0
2093,I,0.6875,0.4875,0.175,3.30271675,1.54504775,0.32601925,0.9922325,6.0
2094,M,1.3,1.025,0.325,19.5895045,9.87980075,4.082328,4.9611625,9.0
2095,I,1.0,0.8125,0.25,10.886208,6.30776375,2.05533875,3.118445,7.0
2096,F,1.6625,1.3375,0.475,41.730464,17.78931125,7.9662095,12.757275,11.0
2097,M,1.6625,1.3625,0.475,42.297454,17.39241825,10.20582,12.0485375,11.0
2098,M,1.6125,1.275,0.5,38.65454325,17.22232125,7.35669525,11.056305,10.0
2099,I,1.0375,0.8125,0.25,10.95708175,4.29494925,1.80019325,2.9766975,7.0
2100,M,1.25,0.975,0.325,18.1153305,8.50485,5.046211,4.32329875,10.0
2101,F,1.7625,1.375,0.45,49.32813,23.31746375,10.56018875,13.834556,11.0
2102,F,1.4125,1.0875,0.3625,21.659018,9.36950975,4.94698775,6.3786375,10.0
2103,M,1.1,0.85,0.275,11.12717875,4.8477645,2.3530085,3.40194,9.0
2104,F,1.6125,1.225,0.45,35.50774875,13.5794105,8.7599955,9.87980075,18.0
2105,M,1.275,1.0125,0.3625,22.72212425,10.58853825,4.932813,6.6621325,11.0
2106,M,1.325,1.0125,0.325,23.09066775,11.38232425,4.479221,6.9456275,10.0
2107,I,0.6875,0.4125,0.15,3.515338,1.54504775,0.52446575,0.9922325,7.0
2108,I,0.9875,0.7375,0.2625,8.901743,3.55786225,1.63009625,2.83495,7.0
2109,I,0.9875,0.7375,0.2125,7.030676,3.27436725,1.4458245,2.1262125,6.0
2110,I,1.0875,0.8375,0.275,10.319218,4.9611625,2.14038725,3.40194,8.0
2111,F,1.575,1.225,0.4125,36.457457,17.70426275,6.6054335,8.3631025,9.0
2112,F,1.6,1.225,0.3875,36.38658325,16.82542825,8.3064035,9.4970825,11.0
2113,M,1.6,1.1875,0.3875,33.3673615,12.82814875,6.90310325,9.7805775,11.0
2114,F,1.5375,1.1875,0.4375,33.8776525,12.34620725,8.09378225,9.07184,11.0
2115,I,0.7,0.525,0.1875,2.70737725,1.1056305,0.35436875,0.9922325,5.0
2116,F,1.5875,1.25,0.375,37.194544,15.0535845,7.9662095,11.66581925,10.0
2117,I,1.2625,0.9625,0.275,16.386011,8.32057825,2.721552,4.53592,8.0
2118,M,0.9625,0.7375,0.2,6.2652395,2.721552,1.417475,2.26796,6.0
2119,I,1.45,1.0125,0.3125,19.050864,9.39785925,4.09650275,4.9611625,9.0
2120,F,1.1125,0.85,0.25,12.984071,4.63514325,2.5231055,3.40194,8.0
2121,F,1.6625,1.3125,0.4375,38.838815,19.334359,8.2497045,10.035723,12.0
2122,I,1.1125,0.9,0.3,14.968536,5.96756975,3.18931875,3.8271825,7.0
2123,I,1.0625,0.8125,0.275,10.64523725,4.52174525,2.608154,2.9766975,7.0
2124,F,1.25,0.9875,0.3375,17.95940825,6.16601625,3.6003865,5.386405,13.0
2125,I,0.45,0.3375,0.1125,0.907184,0.26932025,0.1417475,0.226796,4.0
2126,F,1.475,1.1875,0.4125,29.48348,12.85649825,6.123492,8.50485,10.0
2127,M,1.225,0.95,0.3125,15.5071765,6.2652395,3.2601925,4.819415,10.0
2128,F,1.4,1.1625,0.3375,28.3778495,13.79203175,5.51397775,7.2291225,9.0
2129,I,0.775,0.5875,0.1875,4.2807745,1.6726205,0.94970825,1.247378,5.0
2130,F,1.5875,1.2375,0.4375,36.570855,17.67591325,8.391452,9.922325,10.0
2131,M,1.45,1.1125,0.375,24.62154075,12.40290625,4.252425,5.5281525,9.0
2132,I,1.425,1.1125,0.325,24.6924145,12.40290625,5.216308,6.3786375,9.0
2133,F,1.65,1.325,0.4625,44.4236665,20.53921275,9.53960675,11.4248485,10.0
2134,F,1.25,0.95,0.3,17.22232125,8.334753,2.9199985,5.046211,9.0
2135,I,1.1125,0.8375,0.3125,12.984071,5.329706,2.5231055,3.5436875,7.0
2136,M,1.1625,0.9,0.275,12.6722265,5.159609,2.721552,3.685435,12.0
2137,F,1.5125,1.175,0.35,31.808139,11.15552825,6.6054335,10.6310625,18.0
2138,M,1.5125,1.2125,0.4375,31.127751,14.92601175,7.47009325,8.788345,11.0
2139,F,1.475,1.175,0.4375,32.6302745,14.628342,6.13766675,8.1930055,11.0
2140,I,1.2375,0.95,0.3125,14.5999925,5.896696,2.70737725,4.252425,7.0
2141,M,0.7,0.525,0.175,2.664853,0.680388,0.56699,0.850485,5.0
2142,M,1.3,0.9875,0.35,14.7133905,7.04485075,3.798833,5.953395,8.0
2143,M,1.375,0.95,0.3375,17.690088,6.13766675,3.47281375,5.386405,9.0
2144,M,1.2875,0.975,0.3625,24.39474475,9.73805325,4.876114,8.50485,15.0
2145,F,1.4125,1.075,0.4,23.3883375,9.7805775,5.11708475,6.80388,12.0
2146,F,1.575,1.2125,0.375,30.80173175,12.57300325,6.56290925,9.7805775,11.0
2147,M,1.5625,1.2125,0.4,39.02308675,19.674553,8.50485,8.71747125,10.0
2148,I,0.7,0.5125,0.1875,3.18931875,1.54504775,0.43941725,0.850485,5.0
2149,I,1.3125,1.025,0.35,15.49300175,7.98038425,3.8838815,4.1106775,8.0
2150,F,1.55,1.25,0.4125,36.61337925,13.5227115,6.917278,11.056305,15.0
2151,I,1.125,0.875,0.2875,13.551061,5.2446575,3.345241,3.5436875,7.0
2152,M,1.375,1.0625,0.35,21.50309575,9.2135875,4.706017,6.0951425,9.0
2153,M,1.6,1.2625,0.4375,39.3774555,16.85377775,8.9300925,11.1980525,13.0
2154,M,1.45,1.0875,0.375,24.9192105,11.07047975,5.68407475,6.0951425,9.0
2155,F,1.4625,1.1375,0.4125,29.18581025,12.82814875,6.67630725,8.6465975,11.0
2156,F,1.6125,1.225,0.475,42.297454,13.947954,8.37727725,11.1980525,11.0
2157,I,1.0875,0.8125,0.2875,10.21999475,4.46504625,2.097863,3.40194,8.0
2158,F,1.4875,1.2,0.4125,35.19590425,16.48523425,6.64795775,9.02931575,12.0
2159,F,1.425,1.075,0.375,24.62154075,12.99824575,5.54232725,6.80388,8.0
2160,I,0.9125,0.6625,0.225,6.44951125,2.65067825,1.28990225,1.8427175,6.0
2161,M,1.45,1.15,0.4,28.22192725,11.35397475,6.64795775,7.7961125,9.0
2162,I,1.4125,1.0875,0.3625,24.7491135,11.8784405,6.4920355,6.3786375,9.0
2163,I,0.8875,0.7,0.2375,6.44951125,2.67902775,1.28990225,1.304077,7.0
2164,M,1.2125,0.8875,0.3625,14.968536,6.73300625,4.06815325,3.96893,10.0
2165,I,1.1875,0.95,0.3125,16.839603,8.0229085,3.061746,4.8477645,7.0
2166,F,1.425,1.1,0.35,23.85610425,10.90038275,4.3374735,7.37087,11.0
2167,I,0.925,0.7125,0.225,7.257472,3.61456125,1.757669,1.97029025,7.0
2168,F,1.475,1.1625,0.4,29.1149365,12.927372,6.25106475,8.221355,10.0
2169,M,1.625,1.275,0.3375,36.230661,16.68368075,8.0229085,8.50485,9.0
2170,M,1.45,1.15,0.375,24.62154075,11.4248485,5.2446575,6.520385,9.0
2171,F,1.6125,1.3125,0.475,38.8104655,17.44911725,9.62465525,10.489315,11.0
2172,F,1.3625,1.05,0.3375,20.638436,9.355335,4.57844425,5.8116475,10.0
2173,M,1.525,1.2,0.4,29.1716355,14.7133905,7.64019025,8.0796075,10.0
2174,F,1.125,0.8625,0.2875,13.1258185,5.68407475,3.01922175,3.118445,11.0
2175,F,1.3,1.025,0.3375,20.3265915,10.546014,4.26659975,5.896696,9.0
2176,F,1.4,1.075,0.3375,22.75047375,10.21999475,4.422522,6.23689,11.0
2177,F,1.575,1.2,0.4375,35.19590425,14.89766225,8.43397625,10.489315,7.0
2178,F,1.5875,1.2375,0.425,32.0065855,16.499409,6.6054335,8.3631025,12.0
2179,M,1.2125,0.925,0.35,13.99047825,5.499803,2.31048425,4.819415,10.0
2180,I,1.2,0.925,0.3375,15.35125425,7.030676,2.5798045,4.43669675,8.0
2181,M,1.475,1.15,0.3625,27.71163625,12.60135275,5.556502,7.654365,9.0
2182,F,1.675,1.3,0.4125,35.096681,17.13727275,9.08601475,9.39785925,11.0
2183,I,0.4,0.3,0.0875,0.92135875,0.41106775,0.1417475,0.283495,4.0
2184,M,1.375,1.0625,0.3125,20.638436,9.82310175,4.52174525,5.953395,10.0
2185,F,1.3,1.0125,0.4125,23.51591025,11.43902325,4.91863825,5.953395,9.0
2186,M,1.5125,1.2375,0.4125,31.56716825,13.13999325,7.01650125,9.7805775,13.0
2187,F,1.425,1.1625,0.3875,27.00289875,12.09106175,5.556502,7.93786,9.0
2188,M,1.325,1.0625,0.2875,22.1976585,9.298636,4.252425,6.520385,8.0
2189,I,1.3875,1.0875,0.3625,22.29688175,10.149121,4.3941725,6.9456275,8.0
2190,F,1.425,1.1125,0.3625,25.92561775,10.8011595,5.20213325,7.5126175,10.0
2191,F,1.375,1.0625,0.3625,24.323871,12.4454305,4.77689075,5.62737575,8.0
2192,I,1.3375,1.05,0.375,21.9708625,8.561549,4.29494925,7.087375,10.0
2193,I,0.825,0.6375,0.2375,4.72019175,2.19708625,1.14815475,1.2757275,6.0
2194,F,1.725,1.3625,0.4625,44.4236665,20.05727125,10.319218,12.5021295,11.0
2195,F,1.675,1.35,0.4375,43.7999775,19.7029025,10.149121,9.355335,11.0
2196,I,1.325,1.05,0.3625,23.94115275,10.77281,4.89028875,6.80388,8.0
2197,M,1.3625,1.0,0.3375,22.055911,9.87980075,4.91863825,5.8116475,9.0
2198,M,1.4875,1.175,0.375,33.26813825,11.736693,8.15048125,10.19164525,13.0
2199,M,1.5625,1.2375,0.4625,35.19590425,17.5483405,7.89533575,8.6465975,10.0
2200,M,1.4875,1.25,0.4125,31.62386725,13.79203175,6.78970525,8.9300925,9.0
2201,M,1.7125,1.3125,0.475,48.94541175,21.13455225,9.3836845,11.623295,13.0
2202,M,1.3625,1.025,0.3,23.81358,9.62465525,5.783298,6.9456275,10.0
2203,F,1.95,1.575,0.525,72.291225,33.92017675,11.5382465,15.025235,9.0
2204,M,1.25,0.8875,0.3125,15.09610875,6.73300625,4.479221,3.5436875,8.0
2205,F,1.2375,0.95,0.3125,15.2236815,5.40057975,3.50116325,5.2446575,11.0
2206,F,1.525,1.2,0.4125,29.426781,12.94154675,6.25106475,8.9300925,10.0
2207,I,1.0625,0.8,0.2125,9.63883,3.98310475,1.34660125,3.005047,7.0
2208,I,0.85,0.65,0.2125,5.10291,2.31048425,0.850485,1.5592225,6.0
2209,I,0.575,0.4125,0.15,2.16873675,0.793786,0.32601925,0.56699,4.0
2210,M,1.4625,1.175,0.4125,34.26037075,13.891255,6.917278,10.0640725,10.0
2211,F,1.3,1.0,0.3125,19.74542675,9.62465525,3.7137845,5.06038575,8.0
2212,M,1.15,0.9,0.3,13.947954,5.896696,2.664853,3.40194,7.0
2213,I,1.3875,1.05,0.3375,19.37688325,7.10154975,4.819415,5.5281525,9.0
2214,F,1.6125,1.275,0.425,44.91978275,18.83824275,8.674947,10.3475675,9.0
2215,F,1.4,1.125,0.35,25.51455,11.97766375,5.03203625,7.37087,11.0
2216,I,0.5,0.375,0.1,1.304077,0.46776675,0.18427175,0.3685435,4.0
2217,I,1.0375,0.8125,0.2875,10.44679075,4.35164825,2.02698925,3.40194,10.0
2218,F,1.1375,0.9375,0.2875,14.81261375,6.066793,3.01922175,4.1106775,10.0
2219,M,1.5125,1.2,0.375,28.84561625,11.566596,6.690482,8.1930055,13.0
2220,I,1.3,1.0,0.3125,18.597272,8.4198015,3.6570855,5.8116475,9.0
2221,M,1.55,1.2125,0.4125,32.375129,14.61416725,6.93145275,8.50485,12.0
2222,F,1.4875,1.1625,0.3625,31.00017825,12.6155275,6.010094,7.7961125,12.0
2223,I,1.0875,0.8125,0.275,11.43902325,5.71242425,2.608154,3.685435,7.0
2224,M,1.5,1.1875,0.375,32.034935,15.1102835,6.50621025,8.7032965,9.0
2225,F,1.75,1.4125,0.4875,50.61803225,19.06503875,9.128539,14.17475,18.0
2226,M,1.5125,1.1875,0.375,28.5479465,13.6361095,6.010094,7.087375,10.0
2227,I,1.1875,0.8875,0.2625,14.004653,6.1518415,2.67902775,4.819415,8.0
2228,I,1.225,0.925,0.35,14.61416725,6.0951425,3.01922175,4.706017,8.0
2229,M,1.45,1.175,0.3375,23.700182,11.26892625,4.60679375,6.7188315,9.0
2230,I,1.1875,0.8875,0.2625,12.99824575,5.443104,2.494756,3.685435,11.0
2231,I,0.8125,0.625,0.2125,4.03980375,1.54504775,0.9922325,1.70097,7.0
2232,M,1.4125,1.1,0.375,26.80445225,10.36174225,4.97533725,8.50485,12.0
2233,I,0.825,0.65,0.2125,4.80524025,2.438057,1.70097,1.5592225,6.0
2234,I,1.3375,1.0,0.3375,19.6462035,9.08601475,4.49339575,5.6699,7.0
2235,M,1.5125,1.175,0.4,27.1304715,10.2908685,6.22271525,8.0796075,9.0
2236,I,0.6375,0.4875,0.1625,3.005047,1.530873,0.6520385,0.793786,5.0
2237,M,1.4,1.0625,0.4875,28.81726675,12.9557215,5.783298,10.61688775,17.0
2238,F,1.6125,1.275,0.425,37.32211675,13.93377925,7.89533575,10.489315,15.0
2239,M,1.4125,1.1,0.375,24.73493875,10.829509,6.2652395,7.7961125,9.0
2240,I,0.7375,0.575,0.2,3.515338,1.757669,0.737087,1.13398,6.0
2241,M,1.6125,1.25,0.4,34.68561325,17.293195,8.4198015,9.2135875,9.0
2242,F,1.525,1.2125,0.45,36.0889135,13.947954,8.391452,9.2135875,11.0
2243,F,1.4625,1.175,0.375,30.0221205,12.47378,5.329706,8.221355,9.0
2244,I,1.3125,1.0125,0.35,21.999212,10.7444605,4.479221,5.386405,8.0
2245,I,1.3,1.0125,0.3125,18.7957185,7.72523875,4.762716,5.37223025,8.0
2246,M,1.3125,1.025,0.3125,20.19901875,8.37727725,4.6209685,5.216308,10.0
2247,I,0.6875,0.5,0.175,2.8066005,1.0489315,0.56699,0.94970825,7.0
2248,I,1.3125,1.025,0.3,16.45688475,6.917278,2.9199985,5.6699,11.0
2249,M,1.5625,1.2,0.4125,34.529691,17.08057375,7.3992195,8.50485,11.0
2250,F,1.45,1.125,0.4,25.684647,12.47378,5.14543425,5.953395,8.0
